date,meaning,expression,answer,example,exampleKo
2026. 7. 7.,"작동이 멈추다, 고장 나다",give out,gave out,My phone gave out during the trip.,여행 중에 내 휴대폰이 고장 났어.
2026. 7. 7.,"완전히 망가진, 고장 난",shot,,My old laptop is completely shot.,내 오래된 노트북은 완전히 망가졌어.
2026. 7. 7.,~를 끼워 넣다,squeeze someone in,squeeze me in,"The hair stylist was fully booked, but she squeezed me in during her lunch break. ",미용사는 예약이 꽉 찼지만 점심시간에 나를 끼워 넣어 줬다.
2026. 7. 7.,녹아 없어지다,melt away,,We’ll melt away by then!,그때쯤이면 우린 녹아 없어지고 말 거야!
2026. 7. 7.,흠집투성이인,scratched up,,My goggles are completely scratched up too. ,물안경도 온통 흠집투성이야.
2026. 7. 7.,"열을 식히다, 진정하다",cool off,,Let me cool off with some ice cream first.,먼저 아이스크림 먹으면서 열 좀 식힐게.
2026. 7. 7.,새로운 시작,fresh start,,It’s a fresh start after the divorce.,이혼 후 새출발이야. 
2026. 7. 7.,한번 시도해 보다,give it a shot,,He was nervous about public speaking but decided to give it a  shot anyway.,"그는 대중 연설이 긴장됐지만, 어쨌든 시도해 보기로 했다."
2026. 7. 7.,"포장, 포장재",packaging,,Packaging costs have gone through the roof this quarter alone.,이번 분기만 해도 포장 비용이 급등했어.
2026. 7. 7.,"천정부지로 치솟다, 급등하다",go through the roof,went through the roof,"After the supply chain disruption, shipping costs went through the roof.",공급망 차질 이후 운송 비용이 천정부지로 치솟았다.
2026. 7. 7.,"본전치기를 하다, 수지타산을 맞추다",break even,breaking even,"The cafe is breaking even after rent and salaries, so there’s no profit yet.",그 카페는 임대료와 급여를 주고 나면 본전치기 수준이라서 아직 이익은 나지 않고 있다.
2026. 7. 7.,적자 상태이다,be in the red,,"If we don’t cut expenses soon, we’ll be in the red by year-end.",비용을 곧 줄이지 않으면 우리는 연말에 적자로 돌아설 것이다.
